order_id,customer_id,order_date,order_status,currency_code,payment_method,shipping_country_code,subtotal_amount,shipping_amount,tax_amount,discount_amount,total_amount
O0001,C0002,2023-02-01 10:15:00,completed,USD,card,US,54.00,5.99,4.46,0.00,64.45
O0002,C0003,2023-02-02 11:20:00,completed,GBP,paypal,GB,78.50,6.50,0.00,5.00,80.00
O0003,C0004,2023-02-03 09:05:00,completed,USD,card,US,120.00,0.00,9.90,10.00,119.90
O0004,C0005,2023-02-03 14:40:00,cancelled,USD,card,US,32.00,4.99,2.64,0.00,39.63
O0005,C0006,2023-02-04 16:12:00,completed,EUR,bank_transfer,ES,210.00,8.50,0.00,20.00,198.50
O0006,C0007,2023-02-05 08:55:00,completed,USD,apple_pay,US,44.00,5.99,3.63,0.00,53.62
O0007,C0008,2023-02-06 12:18:00,returned,USD,card,US,89.00,5.99,7.34,8.00,94.33
O0008,C0009,2023-02-07 13:07:00,completed,MXN,card,MX,650.00,90.00,0.00,50.00,690.00
O0009,C0010,2023-02-08 15:33:00,completed,USD,paypal,US,27.00,4.99,2.23,0.00,34.22
O0010,C0011,2023-02-09 17:45:00,pending,USD,card,US,63.00,5.99,5.20,0.00,74.19
O0011,C0012,2023-02-10 10:11:00,completed,EUR,card,ES,155.00,7.50,0.00,15.00,147.50
O0012,C0013,2023-02-11 11:49:00,completed,USD,card,US,91.00,6.99,7.51,0.00,105.50
O0013,C0014,2023-02-12 09:42:00,completed,USD,google_pay,US,38.00,4.99,3.14,0.00,46.13
O0014,C0015,2023-02-13 14:16:00,completed,USD,card,US,134.00,0.00,11.06,12.00,133.06
O0015,C0016,2023-02-14 18:30:00,completed,USD,card,US,57.00,5.99,4.70,0.00,67.69
O0016,C0017,2023-02-15 07:58:00,completed,usd,paypal,US,42.00,5.99,3.47,0.00,51.46
O0017,C0018,2023-02-16 12:05:00,completed,USD,card,US,73.00,6.99,6.02,5.00,81.01
O0018,C0019,2023-02-17 16:52:00,completed,EUR,card,FR,88.00,7.50,0.00,0.00,95.50
O0019,C0020,2023-02-18 09:26:00,completed,USD,bank_transfer,US,112.00,0.00,9.24,0.00,121.24
O0020,C0021,2023-02-19 13:38:00,cancelled,USD,card,US,26.00,4.99,2.15,0.00,33.14
O0021,C0022,2023-02-20 15:19:00,completed,USD,card,US,60.00,5.99,4.95,0.00,70.94
O0022,C0023,2023-02-21 10:47:00,completed,USD,paypal,US,94.00,6.99,7.76,4.00,104.75
O0023,C0024,2023-02-22 11:23:00,completed,USD,card,US,149.00,0.00,12.29,15.00,146.29
O0024,C0025,2023-02-23 14:54:00,completed,MXN,card,MX,420.00,75.00,0.00,20.00,475.00
O0025,C0026,2023-02-24 17:08:00,returned,USD,card,US,52.00,5.99,4.29,0.00,62.28
O0026,C0027,2023-02-25 08:34:00,completed,USD,apple_pay,US,138.00,0.00,11.39,10.00,139.39
O0027,C0028,2023-02-26 12:59:00,pending,USD,card,US,31.00,4.99,2.56,0.00,38.55
