event_id,customer_id,event_type,event_timestamp,channel,category,device
EVT000001,CUST00316,page_view,2024-11-21T06:05:00,paid_search,electronics,tablet
EVT000002,CUST00374,checkout_start,2024-08-16T11:27:00,paid_search,fashion,desktop
EVT000003,CUST00331,signup,2025-06-13T07:35:00,referral,sport,desktop
EVT000004,CUST00399,checkout_start,2024-08-09T21:56:00,paid_search,sport,tablet
EVT000005,CUST00261,checkout_start,2024-09-03T23:25:00,organic,fashion,desktop
EVT000006,CUST00198,signup,2024-06-22T07:31:00,organic,sport,mobile
EVT000007,CUST00185,signup,2025-08-03T04:24:00,social,home,tablet
EVT000008,CUST00350,page_view,2025-02-20T15:49:00,organic,sport,mobile
EVT000009,CUST00008,page_view,2025-05-19T06:02:00,social,sport,desktop
EVT000010,CUST00322,purchase,2025-06-10T13:27:00,organic,sport,tablet
EVT000011,CUST00316,checkout_start,2024-06-26T08:05:00,organic,sport,mobile
EVT000012,CUST00499,purchase,2024-03-28T17:20:00,referral,electronics,desktop
EVT000013,CUST00358,add_to_cart,2024-11-07T23:54:00,organic,fashion,mobile
EVT000014,CUST00474,signup,2026-01-15T03:29:00,referral,electronics,desktop
EVT000015,CUST00342,add_to_cart,2025-01-04T03:00:00,organic,fashion,desktop
EVT000016,CUST00488,checkout_start,2025-05-22T16:33:00,paid_search,home,mobile
EVT000017,CUST00384,page_view,2025-01-11T23:56:00,organic,home,desktop
EVT000018,CUST00140,signup,2025-06-27T02:16:00,organic,beauty,desktop
EVT000019,CUST00262,signup,2024-07-30T01:31:00,paid_search,home,mobile
EVT000020,CUST00131,page_view,2024-09-21T18:43:00,paid_search,sport,mobile
EVT000021,CUST00023,purchase,2024-07-28T07:02:00,email,beauty,mobile
EVT000022,CUST00092,purchase,2025-02-20T17:51:00,paid_search,home,mobile
EVT000023,CUST00214,page_view,2024-07-08T08:52:00,referral,home,mobile
EVT000024,CUST00258,signup,2025-03-30T05:14:00,organic,beauty,mobile
EVT000025,CUST00450,checkout_start,2025-04-09T09:49:00,email,electronics,tablet
EVT000026,CUST00234,checkout_start,2024-04-19T11:12:00,referral,home,tablet
EVT000027,CUST00319,signup,2024-05-27T14:23:00,social,fashion,tablet
EVT000028,CUST00462,page_view,2026-02-19T07:09:00,social,electronics,mobile
EVT000029,CUST00278,page_view,2025-05-15T20:53:00,email,electronics,tablet
EVT000030,CUST00193,signup,2025-01-02T03:13:00,paid_search,beauty,desktop
EVT000031,CUST00493,checkout_start,2024-03-24T04:45:00,organic,electronics,mobile
EVT000032,CUST00460,checkout_start,2025-04-21T13:44:00,social,electronics,tablet
EVT000033,CUST00049,purchase,2024-09-24T04:40:00,organic,sport,tablet
EVT000034,CUST00032,add_to_cart,2025-05-22T21:08:00,email,home,desktop
EVT000035,CUST00475,checkout_start,2024-08-31T22:53:00,email,beauty,desktop
EVT000036,CUST00120,signup,2024-10-01T06:08:00,organic,fashion,mobile
EVT000037,CUST00085,purchase,2025-07-08T14:20:00,organic,sport,desktop
EVT000038,CUST00494,purchase,2024-07-22T14:19:00,email,electronics,mobile
EVT000039,CUST00081,signup,2024-12-20T22:44:00,organic,fashion,desktop
EVT000040,CUST00076,checkout_start,2025-05-01T22:15:00,social,sport,mobile
EVT000041,CUST00347,add_to_cart,2025-01-19T08:52:00,organic,beauty,desktop
EVT000042,CUST00285,purchase,2025-10-02T07:06:00,organic,fashion,mobile
EVT000043,CUST00007,add_to_cart,2025-05-16T07:08:00,social,home,tablet
EVT000044,CUST00323,checkout_start,2024-04-05T18:37:00,organic,electronics,mobile
EVT000045,CUST00102,checkout_start,2025-01-18T04:05:00,organic,electronics,desktop
EVT000046,CUST00026,purchase,2024-06-05T18:27:00,social,electronics,desktop
EVT000047,CUST00350,add_to_cart,2025-06-30T05:22:00,paid_search,home,desktop
EVT000048,CUST00229,signup,2024-04-07T01:39:00,referral,fashion,tablet
EVT000049,CUST00152,signup,2025-02-07T13:56:00,social,electronics,mobile
EVT000050,CUST00144,add_to_cart,2024-08-21T04:26:00,referral,fashion,tablet
EVT000051,CUST00411,checkout_start,2025-04-19T00:24:00,social,sport,desktop
EVT000052,CUST00177,purchase,2025-10-24T16:20:00,email,fashion,mobile
EVT000053,CUST00164,checkout_start,2025-07-10T00:57:00,organic,beauty,tablet
EVT000054,CUST00184,page_view,2025-09-26T07:10:00,paid_search,fashion,desktop
EVT000055,CUST00274,purchase,2025-01-28T07:36:00,email,fashion,mobile
