order_id,customer_id,order_date,status,category,amount_eur,discount_eur
ORD000001,CUST00174,2024-06-21,completed,fashion,240.61,36.09
ORD000002,CUST00135,2024-06-10,completed,fashion,175.36,8.77
ORD000003,CUST00313,2025-10-27,cancelled,home,198.39,9.92
ORD000004,CUST00216,2025-05-05,cancelled,beauty,351.4,17.57
ORD000005,CUST00324,2024-04-10,cancelled,fashion,403.01,0.0
ORD000006,CUST00193,2025-03-11,cancelled,home,226.84,0.0
ORD000007,CUST00434,2024-11-26,completed,sport,334.88,50.23
ORD000008,CUST00129,2024-11-30,completed,electronics,407.37,61.11
ORD000009,CUST00267,2025-09-27,refunded,fashion,38.91,0.0
ORD000010,CUST00344,2024-08-08,completed,sport,335.05,0.0
ORD000011,CUST00094,2025-04-14,completed,fashion,64.31,3.22
ORD000012,CUST00352,2025-04-20,completed,electronics,413.12,0.0
ORD000013,CUST00341,2024-08-05,completed,home,186.64,9.33
ORD000014,CUST00050,2025-04-19,cancelled,beauty,221.58,22.16
ORD000015,CUST00367,2025-01-16,completed,home,253.86,0.0
ORD000016,CUST00438,2025-01-30,completed,home,330.52,33.05
ORD000017,CUST00239,2024-12-01,completed,electronics,58.04,5.8
ORD000018,CUST00235,2025-01-20,completed,sport,196.28,29.44
ORD000019,CUST00028,2025-02-01,completed,fashion,409.93,0.0
ORD000020,CUST00327,2026-03-15,completed,fashion,56.95,5.7
ORD000021,CUST00486,2025-02-07,completed,beauty,306.72,15.34
ORD000022,CUST00267,2026-01-27,completed,sport,302.22,30.22
ORD000023,CUST00269,2025-10-27,completed,beauty,24.08,0.0
ORD000024,CUST00481,2025-04-13,completed,home,114.32,0.0
ORD000025,CUST00469,2025-01-28,completed,electronics,57.04,0.0
ORD000026,CUST00376,2024-12-28,refunded,fashion,177.65,0.0
ORD000027,CUST00111,2025-10-29,completed,home,259.84,25.98
ORD000028,CUST00244,2025-01-20,completed,sport,324.72,48.71
ORD000029,CUST00214,2024-03-03,refunded,sport,249.87,37.48
ORD000030,CUST00085,2025-09-18,completed,fashion,145.95,0.0
ORD000031,CUST00268,2024-09-22,completed,sport,188.32,0.0
ORD000032,CUST00230,2024-10-27,completed,fashion,81.27,12.19
ORD000033,CUST00172,2024-09-19,completed,home,190.75,0.0
ORD000034,CUST00370,2024-09-08,refunded,fashion,67.41,10.11
ORD000035,CUST00479,2025-03-07,completed,sport,312.52,0.0
ORD000036,CUST00422,2025-01-30,cancelled,fashion,325.25,0.0
ORD000037,CUST00477,2024-10-29,completed,electronics,443.38,0.0
ORD000038,CUST00267,2025-12-10,completed,electronics,33.51,0.0
ORD000039,CUST00445,2025-08-02,completed,electronics,440.02,22.0
ORD000040,CUST00111,2025-12-03,completed,beauty,94.75,0.0
ORD000041,CUST00371,2025-08-23,completed,fashion,103.98,15.6
ORD000042,CUST00160,2025-07-24,completed,sport,287.43,0.0
ORD000043,CUST00294,2025-01-06,cancelled,beauty,186.18,0.0
ORD000044,CUST00402,2025-05-06,completed,home,418.27,62.74
ORD000045,CUST00373,2025-02-28,refunded,electronics,294.18,0.0
ORD000046,CUST00018,2024-04-11,completed,sport,230.64,0.0
ORD000047,CUST00393,2024-04-18,completed,beauty,163.18,0.0
ORD000048,CUST00393,2024-07-31,refunded,sport,333.44,16.67
ORD000049,CUST00216,2025-06-14,completed,electronics,77.54,11.63
ORD000050,CUST00340,2025-01-27,completed,beauty,370.16,37.02
ORD000051,CUST00358,2024-09-08,completed,beauty,187.43,0.0
ORD000052,CUST00048,2025-02-16,completed,home,37.41,1.87
